thedate,thetime,comp_name,comp_code,stock_code,Category,Sub_category,open,low,high,lastDone,chg,chgPercent,vol,buy,buyval,sell,sellval,crawl_Timestamp,v_updownpercent,updownInd
2019-02-22 00:00:00,19:00:00,ALAM MARITIM RESOURCES BHD,ALAM,5115,main,energy,0.1,0.1,0.105,0.105,0.005,5,8033,0.1,33719,0.105,18778,2019-03-30 01:39:14,5,up
2019-02-22 00:00:00,19:00:00,BUMI ARMADA BERHAD,ARMADA,5210,main,energy,0.205,0.2,0.205,0.2,0.005,2.44,395140,0.2,281377,0.205,114650,2019-03-30 01:39:14,-2.43902439,down
2019-02-22 00:00:00,19:00:00,BARAKAH OFFSHORE PETROLEUM BHD,BARAKAH,7251,main,energy,0.12,0.1,0.12,0.1,0.02,16.67,457264,0.1,52358,0.105,26426,2019-03-30 01:39:14,-16.66666667,down
2019-02-22 00:00:00,19:00:00,CARIMIN PETROLEUM BERHAD,CARIMIN,5257,main,energy,0.835,0.785,0.835,0.81,0.035,4.14,80809,0.805,500,0.81,2988,2019-03-30 01:39:14,-2.99401198,down
2019-02-22 00:00:00,19:00:00,COASTAL CONTRACTS BHD,COASTAL,5071,main,energy,1.03,1.01,1.03,1.02,0.01,0.99,1622,1.02,54,1.03,256,2019-03-30 01:39:14,-0.97087379,down
2019-02-22 00:00:00,19:00:00,DAYA MATERIALS BHD,DAYA,0091,main,energy,0.01,0.005,0.01,0.01,0,0,55850,0.005,973714,0.01,24840,2019-03-30 01:39:14,0,unchange
2019-02-22 00:00:00,19:00:00,DAYANG ENTERPRISE HOLDINGS BHD,DAYANG,5141,main,energy,0.79,0.785,0.82,0.795,0.005,0.63,479594,0.795,1534,0.8,450,2019-03-30 01:39:14,0.63291139,up
2019-02-22 00:00:00,19:00:00,DELEUM BHD,DELEUM,5132,main,energy,1.16,1.16,1.19,1.17,0.01,0.86,7744,1.17,183,1.19,200,2019-03-30 01:39:14,0.86206897,up
2019-02-22 00:00:00,19:00:00,DIALOG GROUP BHD,DIALOG,7277,main,energy,3.32,3.22,3.32,3.25,0.07,2.11,114872,3.24,320,3.25,1031,2019-03-30 01:39:14,-2.10843373,down
2019-02-22 00:00:00,19:00:00,HANDAL RESOURCES BERHAD,HANDAL,7253,main,energy,0,0,0,0.35,0,0,0,0.34,210,0.35,60,2019-03-30 01:39:14,,
2019-02-22 00:00:00,19:00:00,HENGYUAN REFINING COMPANY BERHAD,HENGYUAN,4324,main,energy,5.99,5.78,6.03,6.03,0.07,1.15,26722,6.03,85,6.05,25,2019-03-30 01:39:14,0.66777963,up
2019-02-22 00:00:00,19:00:00,HIBISCUS PETROLEUM BHD,HIBISCS,5199,main,energy,1.06,1.04,1.07,1.06,0,0,204029,1.06,21051,1.07,37259,2019-03-30 01:39:14,0,unchange
2019-02-22 00:00:00,19:00:00,HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,HIBISCS-WC,5199WC,main,energy,0.51,0.495,0.51,0.51,0,0,61453,0.505,2457,0.51,8804,2019-03-30 01:39:14,0,unchange
2019-02-22 00:00:00,19:00:00,SINO HUA-AN INTERNATIONAL BHD,HUAAN,2739,main,energy,0.205,0.2,0.21,0.2,0.005,2.44,70301,0.2,26995,0.205,27737,2019-03-30 01:39:14,-2.43902439,down
2019-02-22 00:00:00,19:00:00,ICON OFFSHORE BERHAD,ICON,5255,main,energy,0.105,0.1,0.105,0.1,0.01,9.09,12947,0.1,8837,0.105,5561,2019-03-30 01:39:14,-4.76190476,down
2019-02-22 00:00:00,19:00:00,KNM GROUP BHD,KNM,7164,main,energy,0.105,0.105,0.11,0.105,0.01,8.7,139099,0.105,156185,0.11,167618,2019-03-30 01:39:14,0,unchange
2019-02-22 00:00:00,19:00:00,KNM GROUP BERHAD - WARRANTS 2015/2020,KNM-WB,7164WB,main,energy,0,0,0,0.02,0,0,0,0.015,18083,0.02,1800,2019-03-30 01:39:14,,
2019-02-22 00:00:00,19:00:00,MALAYSIA MARINE AND HEAVY ENG,MHB,5186,main,energy,0.77,0.75,0.77,0.75,0.025,3.23,11474,0.75,40,0.755,320,2019-03-30 01:39:14,-2.5974026,down
