theDate|stock_code|comp_code|net_Turnover_Net_Sales|EBITDA|EBIT|Net_Profit|Intangibles|Fixed_Assets|Long_Term_Investment|Stocks_Inventories|Cash|Current_Liabilities|Long_Term_Debt|Provisions|Minorities|Total_Shareholders_Equity|Operating_Margin|Return_on_Equity_Capital|Net_Profit_Margin|Current_Ratio|Debt_to_Capital_at_Book|crawl_Timestamp
31 Dec 2015| : 7054|AASIA|24,584|2,511|-2,632|-5,449|0|315,122|1,326|452|15,285|12,664|19,925|0|0|296,546|-10.27|-1.84|-22.16|1.76|0.06|2019-03-15 00:49:32
31 Dec 2016| : 7054|AASIA|25,813|7,893|2,874|5|0|367,245|1,312|353|3,499|11,645|13,585|0|0|298,352|11.31|0|0.02|1.16|0.04|2019-03-15 00:49:33
31 Dec 2017| : 7054|AASIA|31,489|-|-|-1,735|0|368,651|1,281|270|8,205|11,629|12,609|0|0|300,985|16.83|-|-5.51|1.29|-|2019-03-15 00:49:33
31 Dec 2015| : 5238|AAX|3,062,553|-8,112|-160,504|-349,616|0|1,677,613|0|3,985|310,789|2,000,945|1,109,577|0|0|631,807|-11.83|-52.36|-11.42|0.41|0.34|2019-03-15 00:49:33
31 Dec 2016| : 5238|AAX|4,006,534|347,733|269,940|210,314|0|1,568,493|0|14,151|422,021|1,826,947|952,072|0|0|1,056,885|7.74|24.91|5.25|0.65|0.26|2019-03-15 00:49:33
31 Dec 2017| : 5238|AAX|4,562,005|-|-|98,886|0|1,595,903|125,315|8,518|432,675|2,219,816|673,392|789,043|0|988,606|5.44|-|2.17|0.5|-|2019-03-15 00:49:33
31 Dec 2011| : 523820|AAX-C20|1,862,381|21,288|-83,549|-122,210|0|1,421,501|0|891|113,980|823,186|1,024,996|0|0|503,178|-4.29|-21.66|-6.56|0.43|0.54|2019-03-15 00:49:33
31 Dec 2012| : 523820|AAX-C20|1,967,427|156,065|48,968|33,850|0|1,605,822|0|806|443,684|736,073|831,211|0|0|1,410,556|4.8|3.54|1.72|0.81|0.37|2019-03-15 00:49:33
31 Dec 2013| : 523820|AAX-C20|2,308,350|158,032|36,922|-88,267|0|2,275,213|19,516|993|262,976|1,215,832|1,550,312|0|0|1,236,155|-5.88|-6.67|-3.82|0.37|0.5|2019-03-15 00:49:33
31 Dec 2011| : 523821|AAX-C21|1,862,381|21,288|-83,549|-122,210|0|1,421,501|0|891|113,980|823,186|1,024,996|0|0|503,178|-4.29|-21.66|-6.56|0.43|0.54|2019-03-15 00:49:33
31 Dec 2012| : 523821|AAX-C21|1,967,427|156,065|48,968|33,850|0|1,605,822|0|806|443,684|736,073|831,211|0|0|1,410,556|4.8|3.54|1.72|0.81|0.37|2019-03-15 00:49:33
31 Dec 2013| : 523821|AAX-C21|2,308,350|158,032|36,922|-88,267|0|2,275,213|19,516|993|262,976|1,215,832|1,550,312|0|0|1,236,155|-5.88|-6.67|-3.82|0.37|0.5|2019-03-15 00:49:33
31 Dec 2011| : 5238WA|AAX-WA|1,862,381|21,288|-83,549|-122,210|0|1,421,501|0|891|113,980|823,186|1,024,996|0|0|503,178|-4.29|-21.66|-6.56|0.43|0.54|2019-03-15 00:49:33
31 Dec 2012| : 5238WA|AAX-WA|1,967,427|156,065|48,968|33,850|0|1,605,822|0|806|443,684|736,073|831,211|0|0|1,410,556|4.8|3.54|1.72|0.81|0.37|2019-03-15 00:49:33
31 Dec 2013| : 5238WA|AAX-WA|2,308,350|158,032|36,922|-88,267|0|2,275,213|19,516|993|262,976|1,215,832|1,550,312|0|0|1,236,155|-5.88|-6.67|-3.82|0.37|0.5|2019-03-15 00:49:33
31 Dec 2015| : 0800EA|ABFMY1|30,287|29,002|29,002|29,002|0|0|0|0|29,529|234|0|0|0|1,341,876|95.76|2.86|95.76|5735.51|0|2019-03-15 00:49:33
31 Dec 2016| : 0800EA|ABFMY1|32,618|29,570|29,570|29,570|0|0|0|0|6,404|288|0|0|0|1,442,325|90.66|2.12|90.66|5009.07|0|2019-03-15 00:49:33
31 Dec 2017| : 0800EA|ABFMY1|73,373|70,796|70,796|70,796|0|0|0|0|4,873|362|0|0|0|1,450,591|96.49|4.89|96.49|4008.16|0|2019-03-15 00:49:33
31 Dec 2015| : 7086|ABLEGRP|27,726|-72|-1,025|-1,425|0|1,165|0|37,541|5,426|9,556|0|0|0|46,698|-3.05|-3.01|-5.14|5.7|0.11|2019-03-15 00:49:33
31 Dec 2016| : 7086|ABLEGRP|9,894|-756|-852|-869|0|1,009|0|39,181|173|3,643|0|0|0|45,828|-7.39|-1.88|-8.78|13.13|0.02|2019-03-15 00:49:33
31 Dec 2017| : 7086|ABLEGRP|9,063|-|-|3|0|851|0|38,667|4,095|3,030|0|0|0|45,831|1.13|-|0.03|15.63|-|2019-03-15 00:49:34
31 Mar 2016| : 7131|ACME|78,429|5,980|4,629|3,130|0|11,562|0|31,609|4,283|27,285|0|0|0|61,194|6.12|5.25|3.99|2.01|0.01|2019-03-15 00:49:34
31 Mar 2017| : 7131|ACME|44,593|-165|-1,391|-1,052|0|14,897|0|25,744|1,718|28,871|0|0|0|60,116|-2.83|-1.73|-2.36|1.8|0|2019-03-15 00:49:34
31 Mar 2018| : 7131|ACME|27,731|-|-|3,369|0|14,050|0|22,931|6,041|17,270|536|0|0|69,563|18.77|-|12.15|2.99|-|2019-03-15 00:49:34
