theDate,stock_code,comp_code,net_Turnover_Net_Sales,EBITDA,EBIT,Net_Profit,Intangibles,Fixed_Assets,Long_Term_Investment,Stocks_Inventories,Cash,Current_Liabilities,Long_Term_Debt,Provisions,Minorities,Total_Shareholders_Equity,Operating_Margin,Return_on_Equity_Capital,Net_Profit_Margin,Current_Ratio,Debt_to_Capital_at_Book,crawl_Timestamp
31 Dec 2015,7054,AASIA,24584,2511,-2632,-5449,0,315122,1326,452,15285,12664,19925,0,0,296546,-10.27,-1.84,-22.16,1.76,0.06,2019-03-28 01:18:20
31 Dec 2016,7054,AASIA,25813,7893,2874,5,0,367245,1312,353,3499,11645,13585,0,0,298352,11.31,0,0.02,1.16,0.04,2019-03-28 01:18:20
31 Dec 2017,7054,AASIA,31489,0,0,-1735,0,368651,1281,270,8205,11629,12609,0,0,300985,16.83,0,-5.51,1.29,0,2019-03-28 01:18:20
31 Dec 2015,5238,AAX,3062553,-8112,-160504,-349616,0,1677613,0,3985,310789,2000945,1109577,0,0,631807,-11.83,-52.36,-11.42,0.41,0.34,2019-03-28 01:18:20
31 Dec 2016,5238,AAX,4006534,347733,269940,210314,0,1568493,0,14151,422021,1826947,952072,0,0,1056885,7.74,24.91,5.25,0.65,0.26,2019-03-28 01:18:20
31 Dec 2017,5238,AAX,4562005,0,0,98886,0,1595903,125315,8518,432675,2219816,673392,789043,0,988606,5.44,0,2.17,0.5,0,2019-03-28 01:18:20
31 Dec 2011,523820,AAX-C20,1862381,21288,-83549,-122210,0,1421501,0,891,113980,823186,1024996,0,0,503178,-4.29,-21.66,-6.56,0.43,0.54,2019-03-28 01:18:20
31 Dec 2012,523820,AAX-C20,1967427,156065,48968,33850,0,1605822,0,806,443684,736073,831211,0,0,1410556,4.8,3.54,1.72,0.81,0.37,2019-03-28 01:18:20
31 Dec 2013,523820,AAX-C20,2308350,158032,36922,-88267,0,2275213,19516,993,262976,1215832,1550312,0,0,1236155,-5.88,-6.67,-3.82,0.37,0.5,2019-03-28 01:18:20
31 Dec 2011,523821,AAX-C21,1862381,21288,-83549,-122210,0,1421501,0,891,113980,823186,1024996,0,0,503178,-4.29,-21.66,-6.56,0.43,0.54,2019-03-28 01:18:20
31 Dec 2012,523821,AAX-C21,1967427,156065,48968,33850,0,1605822,0,806,443684,736073,831211,0,0,1410556,4.8,3.54,1.72,0.81,0.37,2019-03-28 01:18:20
31 Dec 2013,523821,AAX-C21,2308350,158032,36922,-88267,0,2275213,19516,993,262976,1215832,1550312,0,0,1236155,-5.88,-6.67,-3.82,0.37,0.5,2019-03-28 01:18:20
31 Dec 2011,5238WA,AAX-WA,1862381,21288,-83549,-122210,0,1421501,0,891,113980,823186,1024996,0,0,503178,-4.29,-21.66,-6.56,0.43,0.54,2019-03-28 01:18:20
31 Dec 2012,5238WA,AAX-WA,1967427,156065,48968,33850,0,1605822,0,806,443684,736073,831211,0,0,1410556,4.8,3.54,1.72,0.81,0.37,2019-03-28 01:18:20
31 Dec 2013,5238WA,AAX-WA,2308350,158032,36922,-88267,0,2275213,19516,993,262976,1215832,1550312,0,0,1236155,-5.88,-6.67,-3.82,0.37,0.5,2019-03-28 01:18:20
31 Dec 2016,0800EA,ABFMY1,32618,29570,29570,29570,0,0,0,0,6404,288,0,0,0,1442325,90.66,2.12,90.66,5009.07,0,2019-03-28 01:18:20
31 Dec 2017,0800EA,ABFMY1,73373,70796,70796,70796,0,0,0,0,4873,362,0,0,0,1450591,96.49,4.89,96.49,4008.16,0,2019-03-28 01:18:20
31 Dec 2018,0800EA,ABFMY1,59754,0,0,57300,0,0,0,0,12557,58097,0,0,0,1418254,95.89,0,95.89,25.41,0,2019-03-28 01:18:21
31 Dec 2015,7086,ABLEGRP,27726,-72,-1025,-1425,0,1165,0,37541,5426,9556,0,0,0,46698,-3.05,-3.01,-5.14,5.7,0.11,2019-03-28 01:18:21
31 Dec 2016,7086,ABLEGRP,9894,-756,-852,-869,0,1009,0,39181,173,3643,0,0,0,45828,-7.39,-1.88,-8.78,13.13,0.02,2019-03-28 01:18:21
31 Dec 2017,7086,ABLEGRP,9063,0,0,3,0,851,0,38667,4095,3030,0,0,0,45831,1.13,0,0.03,15.63,0,2019-03-28 01:18:21
31 Mar 2016,7131,ACME,78429,5980,4629,3130,0,11562,0,31609,4283,27285,0,0,0,61194,6.12,5.25,3.99,2.01,0.01,2019-03-28 01:18:21
31 Mar 2017,7131,ACME,44593,-165,-1391,-1052,0,14897,0,25744,1718,28871,0,0,0,60116,-2.83,-1.73,-2.36,1.8,0,2019-03-28 01:18:21
31 Mar 2018,7131,ACME,27731,0,0,3369,0,14050,0,22931,6041,17270,536,0,0,69563,18.77,0,12.15,2.99,0,2019-03-28 01:18:21
31 Dec 2015,7120,ACOSTEC,108405,8259,9178,11015,23470,12693,0,39314,35726,54545,25273,0,0,117931,12.64,9.61,10.16,1.96,0.17,2019-03-28 01:18:21
31 Dec 2016,7120,ACOSTEC,114210,2350,2903,507,23469,2517,126,11829,27425,39029,21425,0,0,113648,2.78,0.44,0.44,2.76,0.16,2019-03-28 01:18:21
31 Dec 2017,7120,ACOSTEC,46689,0,0,-13883,23469,1246,0,8606,12060,25894,13496,0,0,99765,-28.23,0,-29.74,2.79,0,2019-03-28 01:18:21
