compCode,Category,Sub_category,crawl_Timestamp
ADVENTA,main,healthcare,2019-02-26 10:53:41
AHEALTH,main,healthcare,2019-02-26 10:53:41
CCMDBIO,main,healthcare,2019-02-26 10:53:41
HARTA,main,healthcare,2019-02-26 10:53:41
IHH,main,healthcare,2019-02-26 10:53:41
KOSSAN,main,healthcare,2019-02-26 10:53:41
KOTRA,main,healthcare,2019-02-26 10:53:41
KPJ,main,healthcare,2019-02-26 10:53:41
PHARMA,main,healthcare,2019-02-26 10:53:41
SUPERMX,main,healthcare,2019-02-26 10:53:41
TMCLIFE,main,healthcare,2019-02-26 10:53:41
TMCLIFE-WB,main,healthcare,2019-02-26 10:53:41
TOPGLOV,main,healthcare,2019-02-26 10:53:41
YSPSAH,main,healthcare,2019-02-26 10:53:41
ALAM,main,energy,2019-02-26 10:53:46
ARMADA,main,energy,2019-02-26 10:53:46
BARAKAH,main,energy,2019-02-26 10:53:46
CARIMIN,main,energy,2019-02-26 10:53:46
COASTAL,main,energy,2019-02-26 10:53:46
DAYA,main,energy,2019-02-26 10:53:47
DAYANG,main,energy,2019-02-26 10:53:47
DELEUM,main,energy,2019-02-26 10:53:47
DIALOG,main,energy,2019-02-26 10:53:47
HANDAL,main,energy,2019-02-26 10:53:47
HENGYUAN,main,energy,2019-02-26 10:53:47
HIBISCS,main,energy,2019-02-26 10:53:47
HIBISCS-WC,main,energy,2019-02-26 10:53:47
HUAAN,main,energy,2019-02-26 10:53:47
ICON,main,energy,2019-02-26 10:53:47
KNM,main,energy,2019-02-26 10:53:47
KNM-WB,main,energy,2019-02-26 10:53:47
MHB,main,energy,2019-02-26 10:53:47
PENERGY,main,energy,2019-02-26 10:53:47
PERDANA,main,energy,2019-02-26 10:53:47
PERISAI,main,energy,2019-02-26 10:53:47
PETRONM,main,energy,2019-02-26 10:53:47
REACH,main,energy,2019-02-26 10:53:47
REACH-WA,main,energy,2019-02-26 10:53:47
SAPNRG,main,energy,2019-02-26 10:53:47
SAPNRG-PA,main,energy,2019-02-26 10:53:47
SAPNRG-WA,main,energy,2019-02-26 10:53:47
SCOMI,main,energy,2019-02-26 10:53:47
SCOMI-WB,main,energy,2019-02-26 10:53:47
SCOMIES,main,energy,2019-02-26 10:53:47
SERBADK,main,energy,2019-02-26 10:53:47
SUMATEC,main,energy,2019-02-26 10:53:48
SUMATEC-WA,main,energy,2019-02-26 10:53:48
T7GLOBAL,main,energy,2019-02-26 10:53:48
THHEAVY,main,energy,2019-02-26 10:53:48
THHEAVY-PB,main,energy,2019-02-26 10:53:48
UZMA,main,energy,2019-02-26 10:53:48
