user,post_date,post_time,post_text,favorite_count,crawl_timestamp
Iskandarbak,2019-03-26,10:31:41,KLSE dips below the psychological resistance level of 1,650 yesterday and remains there today.  Any pointers where... https://t.co/LlvFwz4jBg,0,2019-03-26 22:48:56
KiranGu72810213,2019-03-26,07:22:42,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.... https://t.co/zpc5PLpHnz,0,2019-03-26 22:48:56
AryanSo45810863,2019-03-26,07:21:50,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.,0,2019-03-26 22:48:56
research_felix,2019-03-26,06:48:06,Only for KLSE Stock Traders | For KLSE Free Trial Trading TipsJoin Now : https://t.co/Ss2tvSRt31 https://t.co/Dy0PXQVCSj,0,2019-03-26 22:48:56
KiranGu72810213,2019-03-26,04:38:10,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/Vk7XxstiGL,2,2019-03-26 22:48:56
AryanSo45810863,2019-03-26,04:37:37,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/gQOemnLF2K,1,2019-03-26 22:48:57
AryanSo45810863,2019-03-26,03:53:00,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/CQ7ddgCTTL,1,2019-03-26 22:48:57
KiranGu72810213,2019-03-26,03:52:22,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/cDdzXxTclt,2,2019-03-26 22:48:57
qi_soon,2019-03-25,06:55:04,RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH,0,2019-03-26 22:48:57
Klse_2_my_soul,2019-03-24,10:54:30,@BetoFCB_ He is a very good player....just not in form....i hope barca fans support him because thats what we do...... https://t.co/85a9BNkWG7,1,2019-03-26 22:48:57
